Name,Tooth,Class1,Class2,Classify,Exclude
AL198-1_LLC,LC,*,AL198-1,*,*
AL277-1_LLC,LC,*,AL277-1,*,*
AL400-1_LLC,LC,*,AL400-1,*,*
DNH8_LRC,RC,*,DNH8,*,*
DNH79a_LRC,RC,*,DNH79a,*,*
KNM-ER1507_LLC,LC,*,KNM-ER1507,*,*
LC1_Ased_MH1_LLC1,C1,*,LC1,*,*
LH14e_LRC,RC,*,LH14e,*,*
MH2_LRC,RC,*,MH2,*,*
MLD18_LRC,RC,*,MLD18,*,*
OH7_LRC,RC,*,OH7,*,*
OH13_LRC,RC,*,OH13,*,*
OH16_LRC,RC,*,OH16,*,*
SK23_LRC,RC,*,SK23,*,*
SK87_LRC,RC,*,SK87,*,*
SK96_LLC,LC,*,SK96,*,*
STS50_LLC,LC,*,STS50,*,*
STW132_LRC,RC,*,STW132,*,*
STW142_LRC,RC,*,STW142,*,*
STW213_LLC,LC,*,STW213,*,*
TM1601c_LLC,LC,*,TM1601c,*,*
UW101_339_LRC,RC,*,UW101,*,*
UW101_886_LRC,RC,*,UW101,*,*
UW101_1076_LLC,LC,*,UW101,*,*
UW101_1261_LRC,RC,*,UW101,*,*
AL400-1_LLI1,I1,*,AL400-1,*,*
AL822-1_LRI1,I1,*,AL822-1,*,*
DNH7_LLI1,I1,*,DNH7,*,*
DNH107_LRI1,I1,*,DNH107,*,*
KNM-ER820_LLI1,I1,*,KNM-ER820,*,*
MLD18_LRI1,I1,*,MLD18,*,*
OH7_LRI1,I1,*,OH7,*,*
OH16_LLI1,I1,*,OH16,*,*
SK23_LRI1,I1,*,SK23,*,*
SK62_LLI1,I1,*,SK62,*,*
SK852_LLI1,I1,*,SK852,*,*
SK858_LRI1,I1,*,SK858,*,*
STS24_LRI1,I1,*,STS24,*,*
Sts52b_LRI1,I1,*,Sts52b,*,*
STW404_LRI1,I1,*,STW404,*,*
UW101_1005a_LLI1,I1,*,UW101,*,*
UW101_1132_LLI1,I1,*,UW101,*,*
UW101_1261_LRI1,I1,*,UW101,*,*
AL400-1_LLI2,I2,*,AL400-1,*,*
AL822-1_LRI2,I2,*,AL822-1,*,*
DNH7_LLI2,I2,*,DNH7,*,*
DNH80_LLI2,I2,*,DNH80,*,*
KNM-ER820_LLI2,I2,*,KNM-ER820,*,*
LH14c_LRI2,I2,*,LH14c,*,*
MLD18_LRI2,I2,*,MLD18,*,*
OH7_LRI2,I2,*,OH7,*,*
OH16_LLI2,I2,*,OH16,*,*
SK62_LLI2,I2,*,SK62,*,*
SK858_LRI2,I2,*,SK858,*,*
STS24_LLI2,I2,*,STS24,*,*
Sts52b_LRI2,I2,*,Sts52b,*,*
STW111_LRI2,I2,*,STW111,*,*
UW101_335_LRI2,I2,*,UW101,*,*
UW101_998_LLI2,I2,*,UW101,*,*
UW101_1075_LRI2,I2,*,UW101,*,*
UW101_1261_LRI2,I2,*,UW101,*,*
UW105_966,66,*,UW105,*,*
AL199-1_URC,RC,*,AL199-1,*,*
AL200-1a_ULC,LC,*,AL200-1a,*,*
AL417-1d_URC,RC,*,AL417-1d,*,*
DNH7_ULC,LC,*,DNH7,*,*
DNH73_ULC,LC,*,DNH73,*,*
DNH108_ULC,LC,*,DNH108,*,*
KNM-ER1813_URC,RC,*,KNM-ER1813,*,*
KNM-ER_1590D_URC,RC,*,KNM-ER,*,*
LH5_URC,RC,*,LH5,*,*
MH1_URC1,C1,*,MH1,*,*
MLD11_30_URC,RC,*,MLD11,*,*
OH15_URC,RC,*,OH15,*,*
OH39_URC,RC,*,OH39,*,*
OH62_URC,RC,*,OH62,*,*
SK4_URC,RC,*,SK4,*,*
SK65a_URC,RC,*,SK65a,*,*
SK93_ULC,LC,*,SK93,*,*
SKX162_URC,RC,*,SKX162,*,*
SKX25296_ULC,LC,*,SKX25296,*,*
SKX28724_URC,RC,*,SKX28724,*,*
STS52a_URC,RC,*,STS52a,*,*
STW126_URC,RC,*,STW126,*,*
STW252_ULC,LC,*,STW252,*,*
UW101_337_URC,RC,*,UW101,*,*
UW101_412_ULC,LC,*,UW101,*,*
UW101_501_ULC,LC,*,UW101,*,*
UW101_706_ULC,LC,*,UW101,*,*
UW101_1556_ULC,LC,*,UW101,*,*
AL200-1a_ULI1,I1,*,AL200-1a,*,*
AL486-1_ULI1,I1,*,AL486-1,*,*
DNH93_ULI1,I1,*,DNH93,*,*
DNH108_URI1,I1,*,DNH108,*,*
KNM-WT_15000A_ULI1,I1,*,KNM-WT,*,*
LH3b_ULI1,I1,*,LH3b,*,*
MH1_URI1,I1,*,MH1,*,*
MLD43_ULI1,I1,*,MLD43,*,*
OH16_URI1,I1,*,OH16,*,*
OH39_URI1,I1,*,OH39,*,*
Prob_KB5389_ULI1,I1,*,Prob,*,*
Prob_SK2_URI1,I1,*,Prob,*,*
Prob_SK3_URI1,I1,*,Prob,*,*
Prob_SK40_ULI1,I1,*,Prob,*,*
Prob_SK68_ULI1,I1,*,Prob,*,*
Prob_SKX240_ULI1,I1,*,Prob,*,*
SK65_ULI1,I1,*,SK65,*,*
STS24a_URI1,I1,*,STS24a,*,*
STS52a_ULI1,I1,*,STS52a,*,*
STW75_STW78.79_ULI1,I1,*,STW75,*,*
STW183a_URI1,I1,*,STW183a,*,*
STW252_ULI1,I1,*,STW252,*,*
UW101_038_URI1,I1,*,UW101,*,*
UW101_591_ULI1,I1,*,UW101,*,*
UW101_931_ULI1,I1,*,UW101,*,*
UW101_1558_URI1,I1,*,UW101,*,*
UW_105_006_UI1,I1,*,UW,*,*
AL200-1a_ULI2,I2,*,AL200-1a,*,*
AL417-1d_URI2,I2,*,AL417-1d,*,*
AL486-1_ULI2,I2,*,AL486-1,*,*
AL666_ULI2,I2,*,AL666,*,*
DNH7_ULI2,I2,*,DNH7,*,*
DNH45_ULI2,I2,*,DNH45,*,*
KNM-ER1813_URI2,I2,*,KNM-ER1813,*,*
KNM-ER_17760_ULI2,I2,*,KNM-ER,*,*
KNM-WT_17400_URI2,I2,*,KNM-WT,*,*
LH3d_ULI2,I2,*,LH3d,*,*
LH5_URI2,I2,*,LH5,*,*
LH6a_URI2,I2,*,LH6a,*,*
MLD11_30_URI2,I2,*,MLD11,*,*
OH16_URI2,I2,*,OH16,*,*
OH29_URI2,I2,*,OH29,*,*
SK65_ULI2,I2,*,SK65,*,*
SKX610_URI2,I2,*,SKX610,*,*
STW183b_URI2,I2,*,STW183b,*,*
STW252_ULI2,I2,*,STW252,*,*
UW101_073_URI2,I2,*,UW101,*,*
UW101_709_URI2,I2,*,UW101,*,*
UW101_932_ULI2,I2,*,UW101,*,*
UW101_1684_ULI2,I2,*,UW101,*,*
