Name,Tooth,Class1,Class2,Classify,Exclude
Aafr_STS52B_LRP4,P4,*,Aafr,*,*
Aafr_STW131_LLP4,P4,*,Aafr,*,*
Aafr_STW213_LRP4,P4,*,Aafr,*,*
Aafr_STW327_LRP4,P4,*,Aafr,*,*
Aafr_STW404_LRP4,P4,*,Aafr,*,*
Aafr_STW537_LLP4,P4,*,Aafr,*,*
Aafr_STW_14_LLP4,P4,*,Aafr,*,*
Aafr_TM1523_LLP4,P4,*,Aafr,*,*
AL128-23_LRP4,P4,*,AL128-23,*,*
AL266-1_LRP4,P4,*,AL266-1,*,*
AL330-7_LLP4,P4,*,AL330-7,*,*
AL330-5_LRP4,P4,*,AL330-5,*,*
AL333w-1_LLP4,P4,*,AL333w-1,*,*
AL417-1a_LLP4,P4,*,AL417-1a,*,*
AL443-1_LLP4,P4,*,AL443-1,*,*
KNM-ER_992_LRP4,P4,*,KNM-ER,*,*
KNM-ER_1507_LLP4,P4,*,KNM-ER,*,*
KNM-ER_1802_LRP4,P4,*,KNM-ER,*,*
KNM-ER_5431_LLP4,P4,*,KNM-ER,*,*
LH3r_LLP4,P4,*,LH3r,*,*
OH7_LRP4,P4,*,OH7,*,*
OH13_LRP4,P4,*,OH13,*,*
OH16_LLP4,P4,*,OH16,*,*
OH22_LRP4,P4,*,OH22,*,*
Pboi_KNM-ER_3885_LRP4,P4,*,Pboi,*,*
Pboi_KNMER_15951D_LRP4,P4,*,Pboi,*,*
Prob_SK7_LRP4,P4,*,Prob,*,*
Prob_SK9_LLP4,P4,*,Prob,*,*
Prob_SK23_LRP4,P4,*,Prob,*,*
Prob_SK25_LLP4,P4,*,Prob,*,*
Prob_SK55B_LLP4,P4,*,Prob,*,*
Prob_SK88_LLP4,P4,*,Prob,*,*
Prob_SK826B_LLP4,P4,*,Prob,*,*
Prob_SK1587a_LLP4,P4,*,Prob,*,*
Prob_SK1588_LRP4,P4,*,Prob,*,*
Prob_SKW5_LRP4,P4,*,Prob,*,*
Prob_SKX4446_LRP4,P4,*,Prob,*,*
SK6_LLP4,P4,*,SK6,*,*
STW151_LLP4,P4,*,STW151,*,*
UW101_184_LLP4,P4,*,UW101,*,*
UW101_377_LRP4,P4,*,UW101,*,*
UW101_383_LRP4,P4,*,UW101,*,*
UW101_887_LLP4,P4,*,UW101,*,*
UW101_1261_LLP4,P4,*,UW101,*,*
UW105_811_LLP4,P4,*,UW105,*,*
UW_105_240_LLP,LP,*,UW,*,*
